id_item,link,name,brand,img,cate1,cate2
30545,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904109530189396(0).jpg,[아리따움 ] 글램네일즈 (No.45 오렌지댄스),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30545?page=145,NAIL,네일폴리쉬
30544,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904109225207441(0).jpg,[아리따움 ] 글램네일즈 (S048 멜로우 민트),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30544?page=145,NAIL,네일폴리쉬
30543,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904108880289230(0).jpg,[아리따움 ] 모디 글램 네일즈 (No.51 플래티넘 실버),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30543?page=145,NAIL,네일폴리쉬
30542,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904108566415218(0).jpg,[아리따움 ] 글램네일즈 (S047 이집션 블루),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30542?page=145,NAIL,네일폴리쉬
30541,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904108178596732(0).jpg,[아리따움 ] 글램네일즈 (No.93 옐로우 버룬),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30541?page=145,NAIL,네일폴리쉬
30540,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904107878450808(0).jpg,[아리따움 ] 모디 쥬이시 네일즈 (No.13 산토리니 블루),[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/30540?page=145,NAIL,네일폴리쉬
30539,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904107185806368(0).jpg,[더샘] 에코 소울 네일 컬렉션 퀵드라이 멀티 코트,[더샘],http://getitbeauty.m.tving.com/Product/ProductView/30539?page=145,NAIL,탑코트/베이스코트
30538,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904106802667912(0).jpg,[더샘] 샘물 네일즈 (02 젤 탑코트),[더샘],http://getitbeauty.m.tving.com/Product/ProductView/30538?page=145,NAIL,탑코트/베이스코트
30537,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904106471165787(0).jpg,[미샤] 더 스타일 루시드 네일 폴리쉬 (PK21),[미샤],http://getitbeauty.m.tving.com/Product/ProductView/30537?page=145,NAIL,네일폴리쉬
30536,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904105875397968(0).jpg,[토니모리] 토니네일 데일리 Ⅱ (D15 릴리핑크),[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/30536?page=145,NAIL,네일폴리쉬
